time,S,E,I,R
0,7899998750,693,529,28
1,7899997819,1524,627,30
2,7899996641,2415,908,36
3,7899995506,3057,1398,39
4,7899991820,6060,2068,52
5,7899989313,7758,2868,61
6,7899974223,20197,5473,107
7,7899983063,10768,6043,126
8,7899970902,20861,8094,143
9,7899969301,20772,9705,222
10,7899962315,25647,11754,284
11,7899939030,44183,16315,472
12,7899940125,39988,19264,623
13,7899926986,49115,23047,852
14,7899920240,52116,26520,1124
15,7899916781,52413,29319,1487
16,7899907809,57791,32389,2011
17,7899907012,55857,34515,2616
18,7899899447,60391,36918,3244
19,7899896819,60410,38825,3946
20,7899896315,58871,40131,4683
21,7899902001,52767,40082,5150
22,7899798950,140666,54089,6295
23,7899832143,100945,58854,8058
24,7899848739,82206,59660,9395
25,7899849652,79110,60373,10865
26,7899847201,79526,60690,12583
27,7899845171,79674,60803,14352
28,7899846964,77381,59534,16121
29,7899855207,68577,58039,18177
30,7899847626,75528,57956,18890
31,7899859546,61846,55722,22886
32,7899848789,72221,55596,23394
33,7899855574,64868,54331,25227
34,7899859905,59683,52507,27905
35,7899859323,59293,51000,30384
36,7899860219,57053,49451,33277
37,7899863733,52115,47441,36711
38,7899859385,54592,46241,39782
39,7899854508,57090,45686,42716
40,7899855470,54148,44780,45602
41,7899848347,58659,44766,48228
42,7899846786,57876,44168,51170
43,7899843897,58025,44282,53796
44,7899830318,67620,46197,55865
45,7899822892,70909,47841,58358
46,7899818088,71915,49303,60694
47,7899805359,80349,51798,62494
48,7899795097,85852,54647,64404
49,7899771090,102383,59524,67003
50,7899754422,112295,64959,68324
51,7899697305,156218,76226,70251
52,7899689019,153616,84741,72624
53,7899670995,160407,92564,76034
54,7899616582,200253,105077,78088
55,7899585585,216076,117499,80840
56,7899534255,249845,132693,83207
57,7899422602,334411,158133,84854
58,7899349085,378398,185261,87256
59,7899274447,420609,213445,91499
60,7899204421,456423,241452,97704
61,7899037339,580950,283377,98334
62,7899008874,567533,314470,109123
63,7898871682,653244,352689,122385
64,7898717070,747042,397836,138052
65,7898579371,820810,445298,154521
66,7898421132,909467,496954,172447
67,7898358132,915951,538911,187006
68,7898198349,1010723,587174,203754
69,7897993738,1136892,645409,223961
70,7897793999,1250274,709519,246208
71,7897645857,1315968,770727,267448
72,7897473189,1404426,833243,289142
73,7897443997,1373497,877876,304630
74,7897259478,1486301,931117,323104
75,7897100890,1570163,986592,342355
76,7896986369,1615746,1037771,360114
77,7896775118,1744821,1098777,381284
78,7896584548,1848210,1163499,403743
79,7896416870,1929466,1227658,426006
80,7896308385,1962436,1283719,445460
81,7895914589,2237651,1371752,476008
82,7895946410,2133998,1425079,494513
83,7895731932,2263843,1487909,516316
84,7895601213,2316306,1546006,536475
85,7895354679,2468372,1616137,560812
86,7895205759,2529412,1681378,583451
87,7895087125,2569794,1739471,603610
88,7894943717,2636880,1796132,623271
89,7894792244,2711871,1852911,642974
90,7894643605,2784423,1909397,662575
91,7894459671,2886319,1970301,683709
92,7894293968,2969305,2031709,705018
93,7894125975,3053735,2093745,726545
94,7893963159,3133346,2155515,747980
95,7893869561,3156149,2208072,766218
96,7893728819,3225907,2260770,784504
97,7893561229,3317665,2317066,804040
98,7893403116,3398450,2374474,823960
99,7893214618,3503296,2436576,845510
100,7893019496,3609472,2502608,868424
101,7892904756,3645950,2560709,888585
102,7892774611,3702098,2615643,907648
103,7892607934,3791138,2673280,927648
104,7892443132,3876255,2732437,948176
105,7892224894,4004071,2799565,971470
106,7892053808,4086019,2865740,994433
107,7891870314,4179030,2932913,1017743
108,7891726713,4238288,2995528,1039471
109,7891612163,4277615,3051373,1058849
110,7891458548,4355089,3107899,1078464
111,7891256389,4471968,3171209,1100434
112,7891093443,4550566,3233828,1122163
113,7890862841,4685526,3304831,1146802
114,7890672676,4779789,3376028,1171507
115,7890494926,4863649,3445730,1195695
116,7890397962,4882250,3503906,1215882
117,7890182154,5008926,3570076,1238844
118,7889968305,5126957,3641210,1263528
119,7889724671,5265168,3719475,1290686
120,7889513569,5370297,3798148,1317986
121,7889296726,5479798,3877837,1345639
122,7889103104,5569270,3955157,1372469
123,7888959798,5619360,4024359,1396483
124,7888804289,5686646,4089854,1419211
125,7888606707,5791866,4158423,1443004
126,7888366550,5929467,4234559,1469424
127,7888065104,6110920,4323640,1500336
128,7887820182,6234406,4413792,1531620
129,7887503260,6416285,4514046,1566409
130,7887419799,6396886,4590408,1592907
131,7887231633,6484788,4664843,1618736
132,7886906628,6687152,4755890,1650330
133,7886729632,6752932,4838455,1678981
134,7886356659,6987675,4941075,1714591
135,7886111381,7099547,5040114,1748958
136,7885871370,7210228,5136127,1782275
137,7885720361,7250225,5218541,1810873
138,7885546634,7320904,5295042,1837420
139,7885212968,7528588,5388569,1869875
140,7884900877,7703517,5490396,1905210
141,7884635830,7832378,5591499,1940293
142,7884416690,7924044,5686134,1973132
143,7884128632,8078194,5785546,2007628
144,7883875613,8199266,5883501,2041620
145,7883655298,8294669,5976234,2073799
146,7883300935,8505133,6083063,2110869
147,7883021017,8641849,6189374,2147760
148,7882739123,8780649,6295605,2184623
149,7882241365,9097411,6429974,2231250
150,7881856517,9296376,6567971,2279136
151,7882017470,9042361,6637059,2303110
152,7881553794,9363705,6742724,2339777
153,7881126388,9622988,6867536,2383088
154,7880775880,9802060,6994808,2427252
155,7880391743,10006682,7128078,2473497
156,7879963847,10242088,7270979,2523086
157,7879675498,10354025,7401945,2568532
158,7879372697,10488369,7527005,2611929
159,7879130036,10578348,7640355,2651261
160,7878652100,10872513,7776784,2698603
161,7878111302,11198183,7936492,2754023
162,7877744644,11359871,8088659,2806826
163,7877353542,11548335,8239094,2859029
164,7877027246,11684917,8379935,2907902
165,7876672843,11853100,8518182,2955875
166,7876407490,11950180,8643106,2999224
167,7875840769,12307332,8798687,3053212
168,7875394829,12537986,8958513,3108672
169,7874917193,12791026,9125250,3166531
170,7874427018,13048320,9298137,3226525
171,7874081628,13180890,9456132,3281350
172,7873774839,13294747,9599362,3331052
173,7873385434,13489674,9743740,3381152
174,7872850849,13803232,9907827,3438092
175,7872365014,14059281,10078417,3497288
176,7871825709,14353674,10260236,3560381
177,7871385133,14556830,10436494,3621543
178,7870928574,14778048,10611208,3682170
179,7870597603,14897128,10768513,3736756
180,7870200888,15085699,10923036,3790377
181,7869591999,15451567,11103451,3852983
182,7868928748,15839462,11307872,3923918
183,7868361230,16127349,11515466,3995955
184,7867787547,16417526,11725937,4068990
185,7867421237,16534279,11911205,4133279
186,7867143503,16600204,12068449,4187844
187,7866597303,16912018,12242454,4248225
188,7865967204,17278230,12438360,4316206
189,7865410529,17564671,12638978,4385822
190,7864811774,17881645,12848168,4458413
191,7864223581,18182376,13061576,4532467
192,7863890640,18269046,13244404,4595910
193,7863493817,18435258,13415607,4655318
194,7863178460,18544558,13568580,4708402
195,7862435140,19022574,13765539,4776747
196,7861855749,19326809,13969811,4847631
197,7861247292,19648564,14182654,4921490
198,7860705949,19907473,14392329,4994249
199,7860246581,20101614,14589230,5062575
200,7859906576,20208624,14762202,5122598
201,7859445686,20436302,14935336,5182676
202,7858801706,20814719,15132486,5251089
203,7858223761,21117594,15336694,5321951
204,7857595695,21455566,15552056,5396683
205,7856926879,21817309,15780023,5475789
206,7856651073,21844089,15964896,5539942
207,7856381411,21903710,16120828,5594051
208,7855950893,22121346,16278869,5648892
209,7855266458,22546377,16471447,5715718
210,7854651991,22883370,16677439,5787200
211,7854138664,23125218,16878982,5857136
212,7853657251,23344678,17073452,5924619
213,7853131513,23606887,17269092,5992508
214,7852957081,23578560,17419618,6044741
215,7852413028,23894513,17588956,6103503
216,7851865779,24196554,17770995,6166672
217,7851174636,24606006,17980119,6239239
218,7850587246,24906133,18193379,6313242
219,7850039434,25170006,18404171,6386389
220,7849611189,25337517,18597737,6453557
221,7849329872,25399096,18760867,6510165
222,7848643010,25821651,18957085,6578254
223,7848106938,26090839,19155216,6647007
224,7847495128,26420759,19364487,6719626
225,7846918889,26711568,19576387,6793156
226,7846263130,27065595,19800388,6870887
227,7845827105,27227899,20003595,6941401
228,7845541350,27284656,20173600,7000394
229,7845156181,27452542,20334908,7056369
230,7844561369,27800842,20517915,7119874
231,7843854497,28222404,20729725,7193374
232,7843183159,28589349,20955702,7271790
233,7842514612,28941534,21190565,7353289
234,7842047602,29119819,21404911,7427668
235,7841704778,29213808,21589642,7491772
236,7841109817,29541629,21787963,7560591
237,7840506561,29864333,21996241,7632865
238,7839814385,30251557,22222633,7711425
239,7839152394,30597975,22456911,7792720
240,7838466895,30956828,22699408,7876869
241,7838013077,31117527,22917016,7952380
242,7837650781,31224694,23106420,8018105
243,7837120289,31495277,23299373,8085061
244,7836468783,31862464,23510447,8158306
245,7835752491,32267103,23741814,8238592
246,7835084798,32613843,23980085,8321274
247,7834396706,32971321,24225528,8406445
248,7833997459,33084457,24437933,8480151
249,7833655391,33179531,24621298,8543780
250,7833087086,33486587,24815246,8611081
251,7832449185,33841688,25025193,8683934
252,7831653962,34312364,25266132,8767542
253,7831044596,34602618,25503036,8849750
254,7830355971,34961738,25747656,8934635
255,7829888686,35131668,25968409,9011237
256,7829511401,35248421,26161824,9078354
257,7828708567,35739910,26392962,9158561
258,7828067182,36065172,26627648,9239998
259,7827255546,36527614,26886884,9329956
260,7826509085,36914754,27153639,9422522
261,7825794064,37269372,27421198,9515366
262,7825110805,37597107,27685134,9606954
263,7824784794,37633624,27900050,9681532
264,7824210660,37917733,28115361,9756246
265,7823471676,38337345,28352458,9838521
266,7822492508,38935729,28635147,9936616
267,7821592295,39428946,28937295,10041464
268,7820769339,39841382,29242060,10147219
269,7820177694,40060894,29518326,10243086
270,7819676001,40231344,29764236,10328419
271,7818774062,40758333,30042594,10425011
272,7817955209,41188312,30331289,10525190
273,7816899619,41804291,30657650,10638440
274,7815790952,42430881,31015537,10762630
275,7814772692,42955240,31382203,10889865
276,7814011829,43259758,31720987,11007426
277,7813665887,43246867,31987379,11099867
278,7812251871,44177839,32345985,11224305
279,7811381822,44579425,32693765,11344988
280,7810154611,45284867,33081119,11479403
281,7808956962,45931141,33490453,11621444
282,7807753440,46562921,33914906,11768733
283,7807191920,46652336,34265390,11890354
284,7806447672,46957395,34591438,12003495
285,7804960583,47896115,34998540,12144762
286,7803781302,48509882,35418370,12290446
287,7803082756,48716284,35783730,12417230
288,7801388808,49790898,36243516,12576778
289,7800145118,50411405,36706158,12737319
290,7799052094,50905238,37150989,12891679
291,7798485906,50980577,37515389,13018128
292,7797409800,51546877,37893862,13149461
293,7796057640,52328292,38317575,13296493
294,7794625155,53136112,38781318,13457415
295,7793304539,53816533,39256590,13622338
296,7791923674,54536464,39747258,13792604
297,7791039935,54833177,40183058,13943830
298,7790432128,54950756,40546996,14070120
299,7789263731,55593519,40937220,14205530
300,7787790875,56464063,41384368,14360694
301,7786489211,57143462,41846329,14520998
302,7785081288,57897399,42331839,14689474
303,7783677154,58627502,42832231,14863113
304,7782810516,58901569,43272147,15015768
305,7782178648,59035357,43641915,15144080
306,7780991787,59688208,44038357,15281648
307,7779615545,60473664,44476948,15433843
308,7778300577,61171553,44935059,15592811
309,7777241348,61641521,45372518,15744613
310,7775475812,62711715,45888731,15923742
311,7774603030,62976930,46339780,16080260
312,7774040808,63043531,46707722,16207939
313,7773000767,63576995,47083798,16338440
314,7771385591,64577268,47540294,16496847
315,7770028448,65294164,48015604,16661784
316,7768479144,66152871,48528294,16839691
317,7767083988,66851668,49045261,17019083
318,7766017226,67276078,49522135,17184561
319,7765309444,67439919,49925949,17324688
320,7764288065,67926452,50323011,17462472
321,7762688212,68895639,50791209,17624940
322,7761246870,69671631,51285156,17796343
323,7755215634,74207460,52395325,18181581
324,7756754479,71962864,52919265,18363392
325,7755686554,72382099,53400844,18530503
326,7755031556,72498303,53800837,18669304
327,7753898356,73080347,54210007,18811290
328,7752256971,74073111,54691535,18978383
329,7750585585,75026955,55224228,19163232
330,7749050303,75823635,55772556,19353506
331,7747690765,76461735,56308142,19539358
332,7746756027,76760968,56779932,19703073
333,7746003721,76965973,57186241,19844065
334,7744930150,77493322,57591748,19984780
335,7743254330,78517685,58075381,20152604
336,7741794974,79294946,58581759,20328321
337,7740385128,80011401,59096523,20506948
338,7740155105,79748200,59462686,20634009
339,7738957990,80412671,59858113,20771226
340,7738586229,80371238,60164863,20877670
341,7737282251,81176031,60535451,21006267
342,7735315766,82470641,61034242,21179351
343,7733686596,83374511,61572694,21366199
344,7731605233,84616146,62196097,21582524
345,7731517816,84139871,62614574,21727739
346,7730174487,84878824,63063255,21883434
347,7729459966,85073015,63449540,22017479
348,7728222490,85753050,63863377,22161083
349,7726079918,87154732,64413404,22351946
350,7724333938,88109799,65000566,22555697
351,7722324277,89249502,65646411,22779810
352,7720804397,89933967,66266612,22995024
353,7719606235,90375862,66828054,23189849
354,7718993865,90386693,67274628,23344814
355,7717733614,91032470,67730806,23503110
356,7716077630,91995918,68244935,23681517
357,7714422979,92907296,68796730,23872995
358,7712866914,93704303,69360245,24068538
359,7711228507,94558857,69942166,24270470
360,7710403975,94726517,70429819,24439689
361,7709842926,94759956,70821509,24575609
362,7708860964,95224671,71205507,24708858
363,7708511337,94981516,71645580,24861567
364,7707155623,95650024,72155752,25038601
365,7705661060,96475831,72652227,25210882
